DEC 	OCT 	HEX 	BIN 	Символ 	HTML 	Мнемоника
214 	326 	0xD6 	11010110 	Ц 	&#214; 	
215 	327 	0xD7 	11010111 	Ч 	&#215; 	
216 	330 	0xD8 	11011000 	Ш 	&#216; 	
217 	331 	0xD9 	11011001 	Щ 	&#217; 	
218 	332 	0xDA 	11011010 	Ъ 	&#218; 	
219 	333 	0xDB 	11011011 	Ы 	&#219; 	
220 	334 	0xDC 	11011100 	Ь 	&#220; 	
221 	335 	0xDD 	11011101 	Э 	&#221; 	
222 	336 	0xDE 	11011110 	Ю 	&#222; 	
223 	337 	0xDF 	11011111 	Я 	&#223; 	
224 	340 	0xE0 	11100000 	а 	&#224; 	
225 	341 	0xE1 	11100001 	б 	&#225; 	
226 	342 	0xE2 	11100010 	в 	&#226; 	
227 	343 	0xE3 	11100011 	г 	&#227; 	
228 	344 	0xE4 	11100100 	д 	&#228; 	
229 	345 	0xE5 	11100101 	е 	&#229; 	
230 	346 	0xE6 	11100110 	ж 	&#230; 	
231 	347 	0xE7 	11100111 	з 	&#231; 	
232 	350 	0xE8 	11101000 	и 	&#232; 	
233 	351 	0xE9 	11101001 	й 	&#233; 	
234 	352 	0xEA 	11101010 	к 	&#234; 	
235 	353 	0xEB 	11101011 	л 	&#235; 	
236 	354 	0xEC 	11101100 	м 	&#236; 	
237 	355 	0xED 	11101101 	н 	&#237; 	
238 	356 	0xEE 	11101110 	о 	&#238; 	
239 	357 	0xEF 	11101111 	п 	&#239; 	
240 	360 	0xF0 	11110000 	р 	&#240; 	
241 	361 	0xF1 	11110001 	с 	&#241; 	
242 	362 	0xF2 	11110010 	т 	&#242; 	
243 	363 	0xF3 	11110011 	у 	&#243; 	
244 	364 	0xF4 	11110100 	ф 	&#244; 	
245 	365 	0xF5 	11110101 	х 	&#245; 	
246 	366 	0xF6 	11110110 	ц 	&#246; 	
247 	367 	0xF7 	11110111 	ч 	&#247; 	
248 	370 	0xF8 	11111000 	ш 	&#248; 	
249 	371 	0xF9 	11111001 	щ 	&#249; 	
250 	372 	0xFA 	11111010 	ъ 	&#250; 	
251 	373 	0xFB 	11111011 	ы 	&#251; 	
252 	374 	0xFC 	11111100 	ь 	&#252; 	
253 	375 	0xFD 	11111101 	э 	&#253; 	
254 	376 	0xFE 	11111110 	ю 	&#254; 	
255 	377 	0xFF 	11111111 	я 	&#255;
